v1,v2,v3,v4,v5,v6
UID,KRID(id):(x0x1)::-:!!0!!KRID(id):(sx0)::-:!!0!!KRID(id):(cx0)::-:!!0!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(id):(cx0)::-:!!0!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:,,,,
UID,KRID(id):(a-schema)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:,,,,
UID,KRID(id):(A-tagx0)::-:!!0!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:,,,,
UID,KRID(id):(cx0)::-:!!0!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:,,,,
ATN,value,this is the beginning tag,KRID,KRID(id):(D-tagx0)::-:!!0!!KRID(id):(A-tagx0)::-:!!0!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-:this is the beginning tag:-:,
ATN,value,this is a simpler xtag xsd,KRID,KRID(id):(d-schema)::-:!!0!!KRID(id):(a-schema)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-:this is a simpler xtag xsd:-:,
ATN,value,tagx0,KRID,KRID(DeN):(elementname)::-:!!0!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-:tagx0:-:,
ATN,name,xxschema,KRID,KRID(name):(xxschema)::-:!!0!!0:-::-:,
ATN,name,tagx0,KRID,KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:,
ATN,minOccurs,1,KRID,KRID(id):(x0x5)::-:!!0!!KRID(id):(sx0)::-:!!0!!KRID(id):(cx0)::-:!!0!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(id):(cx0)::-:!!0!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:,
ATN,minOccurs,1,KRID,KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:,
ATN,minOccurs,1,KRID,KRID(id):(d-schema)::-:!!0!!KRID(id):(a-schema)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-:this is a simpler xtag xsd:-:,
ATN,minOccurs,1,KRID,KRID(name):(xxschema)::-:!!0!!0:-::-:,
ATN,minOccurs,1,KRID,KRID(id):(D-tagx0)::-:!!0!!KRID(id):(A-tagx0)::-:!!0!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-:this is the beginning tag:-:,
ATN,minOccurs,1,KRID,KRID(id):(sx0)::-:!!0!!KRID(id):(cx0)::-:!!0!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:,
ATN,minOccurs,1,KRID,KRID(DeN):(elementname)::-:!!0!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-:tagx0:-:,
ATN,minOccurs,1,KRID,KRID(id):(a-schema)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:,
ATN,minOccurs,1,KRID,KRID(id):(A-tagx0)::-:!!0!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:,
ATN,minOccurs,1,KRID,KRID(id):(cx0)::-:!!0!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:,
ATN,minOccurs,0,KRID,KRID(id):(x0x1)::-:!!0!!KRID(id):(sx0)::-:!!0!!KRID(id):(cx0)::-:!!0!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(id):(cx0)::-:!!0!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:,
ATN,masterPKRID,KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:,KRID,KRID(id):(sx0)::-:!!0!!KRID(id):(cx0)::-:!!0!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:,
ATN,masterPKRID,KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:,KRID,KRID(id):(x0x5)::-:!!0!!KRID(id):(sx0)::-:!!0!!KRID(id):(cx0)::-:!!0!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(id):(cx0)::-:!!0!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:,
ATN,masterPKRID,KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:,KRID,KRID(id):(x0x1)::-:!!0!!KRID(id):(sx0)::-:!!0!!KRID(id):(cx0)::-:!!0!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(id):(cx0)::-:!!0!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:,
ATN,previousPosition,11,KRID,KRID(id):(cx0)::-:!!0!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:,
ATN,previousPosition,13,KRID,KRID(id):(x0x1)::-:!!0!!KRID(id):(sx0)::-:!!0!!KRID(id):(cx0)::-:!!0!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(id):(cx0)::-:!!0!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:,
ATN,previousPosition,12,KRID,KRID(id):(sx0)::-:!!0!!KRID(id):(cx0)::-:!!0!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:,
ATN,previousPosition,14,KRID,KRID(id):(x0x5)::-:!!0!!KRID(id):(sx0)::-:!!0!!KRID(id):(cx0)::-:!!0!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(id):(cx0)::-:!!0!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:,
ATN,previousPosition,17,KRID,KRID(DeN):(elementname)::-:!!0!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-:tagx0:-:,
ATN,previousPosition,1,KRID,KRID(name):(xxschema)::-:!!0!!0:-::-:,
ATN,previousPosition,3,KRID,KRID(id):(d-schema)::-:!!0!!KRID(id):(a-schema)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-:this is a simpler xtag xsd:-:,
ATN,previousPosition,2,KRID,KRID(id):(a-schema)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:,
ATN,previousPosition,7,KRID,KRID(id):(A-tagx0)::-:!!0!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:,
ATN,previousPosition,6,KRID,KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:,
ATN,previousPosition,8,KRID,KRID(id):(D-tagx0)::-:!!0!!KRID(id):(A-tagx0)::-:!!0!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-:this is the beginning tag:-:,
ATN,masterPosition,7,KRID,KRID(id):(sx0)::-:!!0!!KRID(id):(cx0)::-:!!0!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:,
ATN,masterPosition,7,KRID,KRID(id):(x0x5)::-:!!0!!KRID(id):(sx0)::-:!!0!!KRID(id):(cx0)::-:!!0!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(id):(cx0)::-:!!0!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:,
ATN,masterPosition,7,KRID,KRID(id):(x0x1)::-:!!0!!KRID(id):(sx0)::-:!!0!!KRID(id):(cx0)::-:!!0!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(id):(cx0)::-:!!0!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:,
ATN,maxOccurs,1,KRID,KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:,
ATN,maxOccurs,1,KRID,KRID(id):(d-schema)::-:!!0!!KRID(id):(a-schema)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-:this is a simpler xtag xsd:-:,
ATN,maxOccurs,1,KRID,KRID(name):(xxschema)::-:!!0!!0:-::-:,
ATN,maxOccurs,1,KRID,KRID(id):(D-tagx0)::-:!!0!!KRID(id):(A-tagx0)::-:!!0!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-:this is the beginning tag:-:,
ATN,maxOccurs,1,KRID,KRID(id):(sx0)::-:!!0!!KRID(id):(cx0)::-:!!0!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:,
ATN,maxOccurs,1,KRID,KRID(DeN):(elementname)::-:!!0!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-:tagx0:-:,
ATN,maxOccurs,1,KRID,KRID(id):(x0x1)::-:!!0!!KRID(id):(sx0)::-:!!0!!KRID(id):(cx0)::-:!!0!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(id):(cx0)::-:!!0!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:,
ATN,maxOccurs,1,KRID,KRID(id):(a-schema)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:,
ATN,maxOccurs,1,KRID,KRID(id):(A-tagx0)::-:!!0!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:,
ATN,maxOccurs,1,KRID,KRID(id):(cx0)::-:!!0!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:,
ATN,maxOccurs,unbounded,KRID,KRID(id):(x0x5)::-:!!0!!KRID(id):(sx0)::-:!!0!!KRID(id):(cx0)::-:!!0!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(id):(cx0)::-:!!0!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:,
ATN,version,04/20/2020-1300,KRID,KRID(name):(xxschema)::-:!!0!!0:-::-:,
ATN,DeN,!--
file,POSITION,1,
ATN,DeN,elementname,KRID,KRID(DeN):(elementname)::-:!!0!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-:tagx0:-:,
ATN,DeN,elementname,POSITION,18,
ATN,DeN,/annotation,POSITION,11,
ATN,DeN,/annotation,POSITION,6,
ATN,DeN,sequence,KRID,KRID(id):(sx0)::-:!!0!!KRID(id):(cx0)::-:!!0!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:,
ATN,DeN,sequence,POSITION,13,
ATN,DeN,/complexType,POSITION,17,
ATN,DeN,documentation,KRID,KRID(id):(d-schema)::-:!!0!!KRID(id):(a-schema)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-:this is a simpler xtag xsd:-:,
ATN,DeN,documentation,KRID,KRID(id):(D-tagx0)::-:!!0!!KRID(id):(A-tagx0)::-:!!0!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-:this is the beginning tag:-:,
ATN,DeN,documentation,POSITION,9,
ATN,DeN,documentation,POSITION,4,
ATN,DeN,/element,POSITION,20,
ATN,DeN,/documentation,POSITION,10,
ATN,DeN,/documentation,POSITION,5,
ATN,DeN,element,KRID,KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:,
ATN,DeN,element,KRID,KRID(id):(x0x5)::-:!!0!!KRID(id):(sx0)::-:!!0!!KRID(id):(cx0)::-:!!0!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(id):(cx0)::-:!!0!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:,
ATN,DeN,element,KRID,KRID(id):(x0x1)::-:!!0!!KRID(id):(sx0)::-:!!0!!KRID(id):(cx0)::-:!!0!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(id):(cx0)::-:!!0!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:,
ATN,DeN,element,POSITION,15,
ATN,DeN,element,POSITION,14,
ATN,DeN,element,POSITION,7,
ATN,DeN,/schema,POSITION,21,
ATN,DeN,complexType,KRID,KRID(id):(cx0)::-:!!0!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:,
ATN,DeN,complexType,POSITION,12,
ATN,DeN,/elementname,POSITION,19,
ATN,DeN,/sequence,POSITION,16,
ATN,DeN,annotation,KRID,KRID(id):(a-schema)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:,
